rank	code	company	price	class	capital_1000	five_x_price	profit_if_5x_1000	thesis	risk	status
1	7610	テイツー	142	S	142000	710	568000	高い利益成長と低PER・高ROE。5倍後時価総額も約467億円でまだ成立余地	成長鈍化・中古商材需給	本命監視
2	1443	技研ホールディングス	286	S	286000	1430	1144000	Q1増収増益、低PER・低PBR、5倍後約224億円	受注高減少・案件変動	本命監視
3	288A	ラクサス・テクノロジーズ	96	S	96000	480	384000	利益率改善と2027/3期V字回復計画。小型時価総額で5倍到達余地	売上再成長未確認・会員獲得効率	本命監視
4	2193	クックパッド	133	A	133000	665	532000	黒字転換・利益率改善、ネット事業でスケール余地	再成長の持続性・一過性利益	監視
5	7707	プレシジョン・システム・サイエンス	223	A	223000	1115	892000	黒字・ROE改善、医療機器テーマ、小型時価総額	特別利益等によるEPS歪み・業績変動	監視
6	8944	ランドビジネス	244	A-	244000	1220	976000	不動産販売で大幅増益、低PER・低PBR	極端な低流動性・不動産売却の一過性	板確認必須
7	3910	エムケイシステム	283	A-	283000	1415	1132000	Q1黒字転換、時価総額約15億円で5倍後も約77億円	出来高極小・訴訟/信用リスク	板確認必須
8	4918	アイビー化粧品	297	B+	297000	1485	1188000	小型・低PBR・増益計画、5倍後約85億円	低流動性・優先株等資本構成	監視
9	3940	ノムラシステムコーポレーション	128	B+	128000	640	512000	黒字・財務健全・自社株買い、ITテーマ	上期減益・爆発的成長は未確認	監視
10	7162	アストマックス	266	B+	266000	1330	1064000	蓄電池・再エネ、資産売却/事業カタリスト	電力ヘッジ損益の変動・低流動性	投機枠
11	6494	NFKホールディングス	97	B	97000	485	388000	小型、事業買収・大型受注、前期収益改善	案件依存・利益持続性	監視
12	3911	Aiming	179	B	179000	895	716000	ゲーム新作ヒット時の非線形アップサイド	上期大幅減益・ヒット依存	夢枠
13	7851	カワセコンピュータサプライ	196	B-	196000	980	784000	時価総額10億円未満・低PBR・自社株買い	低流動性・利益鈍化	板確認必須
14	6803	ティアック	100	B-	100000	500	400000	低PER・低PBR・小型で数値上の5倍余地	直近Q1赤字、通期経常減益予想	順位引下げ
15	6029	アトラグループ	186	C+	186000	930	744000	営業利益回復、小型時価総額	減収・最終赤字	監視
16	3909	ショーケース	189	C+	189000	945	756000	極小時価総額・ITテーマ	利益に有価証券売却益、出来高少	順位引下げ
17	7897	ホクシン	108	C	108000	540	432000	低PBR・小型	ROE低位・成長材料弱い	監視下位
18	7615	京都きもの友禅HD	98	C	98000	490	392000	極小時価総額・低PBR、反転時の値幅	Q1大幅減益・1年大幅下落	順位引下げ
19	7571	ヤマノホールディングス	89	C-	89000	445	356000	低位・小型、反転余地	Q1営業/最終赤字・借入増	見送り寄り
20	2673	夢みつけ隊	118	C-	118000	590	472000	時価総額約12億円・黒字転換	事業規模極小・低流動性	見送り寄り
